time,mouse_x,mouse_y,mouse_speed_x,mouse_speed_y,neuron_0,neuron_1,neuron_2,neuron_3
1700582553.8603342, 500, 287, 0, 0, 0, 0, 0, 0
1700582553.860769, 500, 287, 0, 0, 0, 0, 0, 0
1700582553.876153, 500, 287, 0, 0, 0, 0, 0, 0
1700582553.8934479, 500, 287, 0, 0, 0, 0, 0, 0
1700582553.910448, 500, 287, 0, 0, 0, 0, 0, 0
1700582553.927317, 500, 287, 0, 0, 0, 0, 0, 0
1700582553.9444852, 500, 287, 0, 0, 0, 0, 0, 0
1700582553.961998, 500, 287, 0, 0, 0, 0, 0, 0
1700582553.97742, 500, 287, 0, 0, 0, 0, 0, 0
1700582553.994453, 500, 287, 0, 0, 0, 0, 0, 0
1700582554.0111308, 500, 287, 0, 0, 0, 0, 0, 0
1700582554.028467, 500, 287, 0, 0, 0, 0, 0, 0
1700582554.045418, 500, 287, 0, 0, 0, 0, 0, 0
1700582554.062934, 500, 287, 0, 0, 0, 0, 0, 0
1700582554.0794098, 500, 287, 0, 0, 0, 0, 0, 0
1700582554.096085, 500, 287, 0, 0, 0, 0, 0, 0
1700582554.113148, 500, 287, 0, 0, 0, 0, 0, 0
1700582554.129596, 500, 287, 0, 0, 0, 0, 0, 0
1700582554.1467829, 500, 287, 0, 0, 0, 0, 0, 0
1700582554.163656, 500, 287, 0, 0, 0, 0, 0, 0
1700582554.179177, 500, 287, 0, 0, 0, 0, 0, 0
1700582554.196299, 500, 287, 0, 0, 0, 0, 0, 0
1700582554.213815, 500, 287, 0, 0, 0, 0, 0, 0
1700582554.2301261, 500, 287, 0, 0, 0, 0, 0, 0
1700582554.247496, 500, 287, 0, 0, 0, 0, 0, 0
1700582554.264512, 500, 287, 0, 0, 0, 0, 0, 0
1700582554.281584, 500, 287, 0, 0, 0, 0, 0, 0
1700582554.298957, 500, 287, 0, 0, 0, 0, 0, 0
1700582554.315299, 500, 287, 0, 0, 0, 0, 0, 0
1700582554.3324559, 500, 287, 0, 0, 0, 0, 0, 0
1700582554.3499799, 500, 287, 0, 0, 0, 0, 0, 0
1700582554.366097, 500, 287, 0, 0, 0, 0, 0, 0
1700582554.383168, 500, 287, 0, 0, 0, 0, 0, 0
1700582554.399858, 500, 287, 0, 0, 0, 0, 0, 0
1700582554.4177861, 500, 287, 0, 0, 0, 0, 0, 0
1700582554.434339, 500, 287, 0, 0, 0, 0, 0, 0
1700582554.451978, 501, 287, 1, 0, 0, 0, 0, 0
1700582554.4684749, 501, 287, 0, 0, 0, 0, 0, 0
1700582554.486033, 503, 287, 2, 0, 0, 0, 0, 0
1700582554.503291, 507, 287, 4, 0, 0, 0, 0, 0
1700582554.520673, 517, 287, 10, 0, 0, 0, 0, 0
1700582554.53778, 526, 288, 9, 1, 0, 0, 0, 0
1700582554.555276, 538, 288, 12, 0, 0, 0, 0, 0
1700582554.572722, 548, 288, 10, 0, 0, 0, 0, 0
1700582554.589441, 562, 288, 14, 0, 0, 0, 0, 0
1700582554.6064441, 575, 288, 13, 0, 0, 0, 0, 0
1700582554.623148, 584, 288, 9, 0, 0, 0, 0, 0
1700582554.64078, 600, 286, 16, -2, 0, 0, 0, 0
1700582554.657004, 608, 286, 8, 0, 0, 0, 0, 0
1700582554.674635, 615, 285, 7, -1, 0, 0, 0, 0
1700582554.690845, 624, 284, 9, -1, 1, 0, 0, 0
1700582554.7084732, 631, 284, 7, 0, 1, 0, 0, 0
1700582554.725558, 638, 283, 7, -1, 1, 0, 0, 0
1700582554.742453, 648, 282, 10, -1, 1, 0, 0, 0
1700582554.759377, 648, 282, 0, 0, 0, 0, 0, 0
1700582554.776118, 666, 281, 18, -1, 0, 0, 0, 0
1700582554.792931, 673, 280, 7, -1, 0, 0, 0, 0
1700582554.8097768, 687, 280, 14, 0, 0, 0, 0, 0
1700582554.827017, 696, 279, 9, -1, 0, 0, 0, 0
1700582554.8446, 706, 279, 10, 0, 0, 0, 0, 0
1700582554.8621151, 718, 279, 12, 0, 0, 0, 0, 0
1700582554.878968, 728, 279, 10, 0, 0, 0, 0, 0
1700582554.894573, 739, 279, 11, 0, 0, 0, 0, 0
1700582554.911892, 749, 279, 10, 0, 0, 0, 0, 0
1700582554.928837, 759, 279, 10, 0, 0, 0, 0, 0
1700582554.9452438, 768, 279, 9, 0, 0, 0, 0, 0
1700582554.9607549, 781, 279, 13, 0, 1, 0, 0, 0
1700582554.9782028, 792, 279, 11, 0, 1, 0, 0, 0
1700582554.993696, 801, 279, 9, 0, 1, 0, 0, 0
1700582555.010689, 816, 278, 15, -1, 1, 0, 0, 0
1700582555.027359, 826, 278, 10, 0, 0, 0, 0, 0
1700582555.0447638, 840, 278, 14, 0, 0, 0, 0, 0
1700582555.0613918, 850, 278, 10, 0, 0, 0, 0, 0
1700582555.07795, 865, 278, 15, 0, 0, 0, 0, 0
1700582555.094702, 875, 278, 10, 0, 1, 0, 0, 0
1700582555.110972, 892, 277, 17, -1, 1, 0, 0, 0
1700582555.127987, 906, 277, 14, 0, 1, 0, 0, 0
1700582555.144983, 928, 277, 22, 0, 1, 0, 0, 0
1700582555.161931, 944, 277, 16, 0, 1, 0, 0, 0
1700582555.179445, 959, 277, 15, 0, 1, 0, 0, 0
1700582555.196395, 977, 277, 18, 0, 1, 0, 0, 0
1700582555.212734, 1001, 277, 24, 0, 1, 0, 0, 0
1700582555.230129, 1015, 276, 14, -1, 0, 0, 0, 0
1700582555.2471502, 1027, 276, 12, 0, 0, 0, 0, 0
1700582555.2641191, 1041, 276, 14, 0, 0, 0, 0, 0
1700582555.281779, 1050, 276, 9, 0, 0, 0, 0, 0
1700582555.2986581, 1060, 276, 10, 0, 0, 0, 0, 0
1700582555.315553, 1074, 276, 14, 0, 0, 0, 0, 0
1700582555.33285, 1084, 276, 10, 0, 0, 0, 0, 0
1700582555.349997, 1102, 275, 18, -1, 0, 0, 0, 0
1700582555.366787, 1112, 275, 10, 0, 0, 0, 0, 0
1700582555.382795, 1121, 275, 9, 0, 0, 0, 0, 0
1700582555.3999, 1131, 275, 10, 0, 0, 0, 0, 0
1700582555.41726, 1135, 275, 4, 0, 0, 0, 0, 0
1700582555.434318, 1138, 275, 3, 0, 0, 0, 0, 0
1700582555.450678, 1138, 275, 0, 0, 0, 0, 0, 0
1700582555.468556, 1139, 275, 1, 0, 0, 0, 0, 0
1700582555.4856472, 1139, 275, 0, 0, 0, 0, 0, 0
1700582555.5025501, 1139, 275, 0, 0, 0, 0, 0, 0
1700582555.519615, 1139, 275, 0, 0, 0, 0, 0, 0
1700582555.536382, 1139, 275, 0, 0, 0, 0, 0, 0
1700582555.553592, 1139, 275, 0, 0, 0, 0, 0, 0
1700582555.570704, 1139, 275, 0, 0, 0, 0, 0, 0
1700582555.587421, 1139, 275, 0, 0, 0, 0, 0, 0
1700582555.604835, 1139, 275, 0, 0, 0, 0, 0, 0
1700582555.621521, 1139, 275, 0, 0, 0, 0, 0, 0
1700582555.638227, 1139, 275, 0, 0, 0, 0, 0, 0
1700582555.656093, 1139, 275, 0, 0, 0, 0, 0, 0
1700582555.672833, 1139, 275, 0, 0, 0, 0, 0, 0
1700582555.689888, 1139, 275, 0, 0, 0, 0, 0, 0
1700582555.705478, 1139, 275, 0, 0, 0, 0, 0, 0
1700582555.7224782, 1138, 275, -1, 0, 0, 0, 0, 0
1700582555.7390552, 1135, 275, -3, 0, 0, 0, 0, 0
1700582555.75507, 1128, 276, -7, 1, 0, 0, 0, 0
1700582555.771277, 1118, 277, -10, 1, 0, 0, 0, 0
1700582555.7882051, 1104, 279, -14, 2, 0, 0, 0, 0
1700582555.804961, 1087, 281, -17, 2, 0, 0, 0, 0
1700582555.8219368, 1075, 283, -12, 2, 0, 0, 0, 0
1700582555.839055, 1060, 284, -15, 1, 0, 1, 0, 0
1700582555.856499, 1042, 286, -18, 2, 0, 1, 0, 0
1700582555.873388, 1026, 287, -16, 1, 0, 1, 0, 0
1700582555.890783, 1010, 288, -16, 1, 0, 1, 0, 0
1700582555.906871, 998, 290, -12, 2, 0, 0, 0, 0
1700582555.9241421, 983, 291, -15, 1, 0, 0, 0, 0
1700582555.94138, 973, 291, -10, 0, 0, 0, 0, 0
1700582555.9584918, 959, 293, -14, 2, 0, 0, 0, 0
1700582555.975559, 949, 293, -10, 0, 0, 0, 0, 0
1700582555.991908, 932, 295, -17, 2, 0, 0, 0, 0
1700582556.009129, 922, 296, -10, 1, 0, 0, 0, 0
1700582556.0259762, 899, 298, -23, 2, 0, 0, 0, 0
1700582556.0433989, 888, 299, -11, 1, 0, 1, 0, 0
1700582556.060562, 873, 300, -15, 1, 0, 1, 0, 0
1700582556.077347, 860, 301, -13, 1, 0, 1, 0, 0
1700582556.094938, 850, 301, -10, 0, 0, 1, 0, 0
1700582556.111712, 836, 302, -14, 1, 0, 1, 0, 0
1700582556.127903, 826, 302, -10, 0, 0, 1, 0, 0
1700582556.144726, 811, 303, -15, 1, 0, 1, 0, 0
1700582556.1612642, 798, 303, -13, 0, 0, 1, 0, 0
1700582556.177896, 784, 304, -14, 1, 0, 0, 0, 0
1700582556.1952739, 772, 305, -12, 1, 0, 0, 0, 0
1700582556.212241, 754, 305, -18, 0, 0, 0, 0, 0
1700582556.2291489, 738, 305, -16, 0, 0, 0, 0, 0
1700582556.246716, 731, 306, -7, 1, 0, 0, 0, 0
1700582556.2635882, 709, 306, -22, 0, 0, 0, 0, 0
1700582556.27993, 695, 306, -14, 0, 0, 0, 0, 0
1700582556.297232, 677, 306, -18, 0, 0, 0, 0, 0
1700582556.3141718, 658, 306, -19, 0, 0, 1, 0, 0
1700582556.331143, 640, 306, -18, 0, 0, 1, 0, 0
1700582556.348181, 613, 307, -27, 1, 0, 1, 0, 0
1700582556.365939, 596, 308, -17, 1, 0, 1, 0, 0
1700582556.382564, 578, 308, -18, 0, 0, 1, 0, 0
1700582556.399539, 563, 308, -15, 0, 0, 1, 0, 0
1700582556.415689, 546, 308, -17, 0, 0, 1, 0, 0
1700582556.432728, 532, 308, -14, 0, 0, 1, 0, 0
1700582556.450495, 514, 308, -18, 0, 0, 0, 0, 0
1700582556.468092, 499, 308, -15, 0, 0, 0, 0, 0
1700582556.4846551, 488, 308, -11, 0, 0, 0, 0, 0
1700582556.502157, 464, 309, -24, 1, 0, 0, 0, 0
1700582556.5179431, 449, 310, -15, 1, 0, 0, 0, 0
1700582556.5347788, 437, 310, -12, 0, 0, 0, 0, 0
1700582556.5513542, 422, 310, -15, 0, 0, 0, 0, 0
1700582556.5687418, 407, 310, -15, 0, 0, 0, 0, 0
1700582556.585461, 396, 310, -11, 0, 0, 1, 0, 0
1700582556.60185, 380, 311, -16, 1, 0, 1, 0, 0
1700582556.6194508, 366, 311, -14, 0, 0, 1, 0, 0
1700582556.637116, 355, 311, -11, 0, 0, 1, 0, 0
1700582556.653415, 340, 311, -15, 0, 0, 1, 0, 0
1700582556.670785, 321, 312, -19, 1, 0, 1, 0, 0
1700582556.687126, 312, 312, -9, 0, 0, 1, 0, 0
1700582556.704503, 303, 312, -9, 0, 0, 1, 0, 0
