time,mouse_x,mouse_y,mouse_speed_x,mouse_speed_y,neuron_0,neuron_1,neuron_2,neuron_3
1700571425.9451032, 468, 331, 0, 0, 0, 0, 0, 0
1700571425.945879, 468, 331, 0, 0, 0, 0, 0, 0
1700571425.960811, 468, 331, 0, 0, 0, 0, 0, 0
1700571425.976783, 468, 331, 0, 0, 0, 0, 0, 0
1700571425.99359, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.010816, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.027885, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.044126, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.062013, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.078856, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.095168, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.1128771, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.12945, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.146605, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.164027, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.1801941, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.197239, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.21346, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.230433, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.2476249, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.264593, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.280551, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.298153, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.314647, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.331081, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.348469, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.365816, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.382663, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.399461, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.416447, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.4335191, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.450604, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.468137, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.484582, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.501887, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.518343, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.535466, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.552594, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.569371, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.586644, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.6034381, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.620202, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.6374888, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.654807, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.671676, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.688663, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.705481, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.722091, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.740119, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.756803, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.7736142, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.790228, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.808202, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.824468, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.841672, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.858343, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.876014, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.893026, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.909842, 468, 331, 0, 0, 0, 0, 0, 0
1700571426.926914, 468, 331, 0, 0, 0, 0, 0, 0
